Airport,State,Flight_Phase,Height,Speed,Distance
SALT LAKE CITY INTL,UT,DEPARTURE,,,0.0
SALT LAKE CITY INTL,UT,,,,0.0
SALT LAKE CITY INTL,UT,,0,112,0.0
SALT LAKE CITY INTL,UT,,,,0.0
SALT LAKE CITY INTL,UT,,,,0.0
SALT LAKE CITY INTL,UT,,0,,0.0
SEATTLE-TACOMA INTL,WA,,,,0.0
SEATTLE-TACOMA INTL,WA,,,,0.0
SEATTLE-TACOMA INTL,WA,LOCAL,,,0.0
SEATTLE-TACOMA INTL,WA,DEPARTURE,,,0.0
SEATTLE-TACOMA INTL,WA,DEPARTURE,,,0.0
SEATTLE-TACOMA INTL,WA,PARKED,0,0,0.0
SEATTLE-TACOMA INTL,WA,ARRIVAL,,,0.0
SEATTLE-TACOMA INTL,WA,,,,0.0
SEATTLE-TACOMA INTL,WA,ARRIVAL,,,0.0
SEATTLE-TACOMA INTL,WA,LOCAL,,,0.0
SEATTLE-TACOMA INTL,WA,PARKED,0,0,0.0
SEATTLE-TACOMA INTL,WA,LOCAL,,,0.0
SEATTLE-TACOMA INTL,WA,ARRIVAL,,,0.0
PITTSBURGH INTL ARPT,PA,LOCAL,,,0.0
WILLIAM P HOBBY ARPT,TX,,0,,0.0
WILLIAM P HOBBY ARPT,TX,LOCAL,,,0.0
WILLIAM P HOBBY ARPT,TX,LOCAL,,,0.0
WILLIAM P HOBBY ARPT,TX,LOCAL,,,0.0
AUSTIN-BERGSTROM INTL,TX,,50,100,0.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,,,0.0
AUSTIN-BERGSTROM INTL,TX,,0,,0.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,,,0.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,,,0.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,,,0.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,10000,250,30.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,,,0.0
AUSTIN-BERGSTROM INTL,TX,DEPARTURE,,,0.0
AUSTIN-BERGSTROM INTL,TX,LOCAL,2000,,10.0
AUSTIN-BERGSTROM INTL,TX,,,,0.0
LAMBERT-ST LOUIS INTL,MO,,15000,210,30.0
LAMBERT-ST LOUIS INTL,MO,PARKED,0,,0.0
LAMBERT-ST LOUIS INTL,MO,PARKED,0,,0.0
INDIANAPOLIS INTL ARPT,IN,DEPARTURE,,,0.0
INDIANAPOLIS INTL ARPT,IN,ARRIVAL,,,0.0
INDIANAPOLIS INTL ARPT,IN,ARRIVAL,,,0.0
INDIANAPOLIS INTL ARPT,IN,DEPARTURE,,,0.0
SAN FRANCISCO INTL ARPT,CA,ARRIVAL,,,0.0
SAN FRANCISCO INTL ARPT,CA,,0,,0.0
